REF_AREA,Geographic area,INDICATOR,Indicator,UNIT_MULTIPLIER,Unit multiplier,UNIT_MEASURE,Unit of measure,TIME_PERIOD,OBS_VALUE,OBS_FOOTNOTE,DATA_SOURCE,OBS_STATUS,Observation Status
GNQ,Equatorial Guinea,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 8.2,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
ERI,Eritrea,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 9.2,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
SWZ,Eswatini,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 7.4,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
ETH,Ethiopia,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 8.8,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
GAB,Gabon,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,High,Value: 6.7,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
GMB,Gambia,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 9.1,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
GHA,Ghana,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,High,Value: 6.9,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
GIN,Guinea,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 9.7,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
GNB,Guinea-Bissau,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 9.5,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
KEN,Kenya,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 7.6,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
LSO,Lesotho,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,High,Value: 6.5,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
LBR,Liberia,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 9.1,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
LBY,Libya,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Low-Medium,Value: 3,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
MDG,Madagascar,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 8.1,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
MWI,Malawi,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 7.6,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
MLI,Mali,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 9.4,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
MRT,Mauritania,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 9,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
MAR,Morocco,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,High,Value: 5.7,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
MOZ,Mozambique,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 7.6,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
NAM,Namibia,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,High,Value: 5.7,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
NER,Niger,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 8.8,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
NGA,Nigeria,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 9.4,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
RWA,Rwanda,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,High,Value: 6.9,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
SEN,Senegal,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 8.2,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
SLE,Sierra Leone,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 9.2,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
SOM,Somalia,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 10,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
ZAF,South Africa,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Medium-High,Value: 5,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
SSD,South Sudan,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 9.5,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
SDN,Sudan,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 7.9,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
TGO,Togo,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 8.7,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
TUN,Tunisia,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Medium-High,Value: 4.3,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
UGA,Uganda,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 8.3,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
TZA,United Republic of Tanzania,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 9.1,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
ZMB,Zambia,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,High,Value: 6.8,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
ZWE,Zimbabwe,CCRI_MAT_HEALTH,Maternal health,,,IDX,Index,2020,Extremely High,Value: 8.6,"Population Division, Department of Economic and Social Affairs (DESA), United Nations Population Fund (UNFPA), through the Global SDG Indicators Database.",,
DZA,Algeria,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Medium-High,Value: 4,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
AGO,Angola,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 9.1,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
BEN,Benin,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 9,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
BWA,Botswana,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,High,Value: 5.5,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
BFA,Burkina Faso,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 7.4,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
BDI,Burundi,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 8.1,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
CMR,Cameroon,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 8.5,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
CAF,Central African Republic,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 9.8,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
TCD,Chad,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 9.9,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
COG,Congo,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 7.3,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
CIV,Côte d'Ivoire,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 8.1,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
COD,Democratic Republic of the Congo,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 8.5,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
DJI,Djibouti,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 7.7,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
EGY,Egypt,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Medium-High,Value: 4.7,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
GNQ,Equatorial Guinea,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 7.9,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
ERI,Eritrea,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 7.6,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
SWZ,Eswatini,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,High,Value: 6.4,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
ETH,Ethiopia,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 8.7,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
GAB,Gabon,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 7.1,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
GMB,Gambia,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 7.2,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
GHA,Ghana,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,High,Value: 5.9,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
GIN,Guinea,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 9.4,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
GNB,Guinea-Bissau,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 8.4,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
KEN,Kenya,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,High,Value: 6.6,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
LSO,Lesotho,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 7.4,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
LBR,Liberia,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 8.1,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
LBY,Libya,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Medium-High,Value: 4.7,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
MDG,Madagascar,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 8.3,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
MWI,Malawi,CCRI_CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2020,Extremely High,Value: 7.3,"UN Inter-agency Group for Child Mortality Estimation, redistrubuted by World Bank WDI - World Health Organization (WHO), United Nations Children’s Fund (UNICEF), through the Global SDG Indicators Database. - UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME) - UNICEF-WHO Low birthweight estimates (data.unicef.org), redistributed by World Bank WDI. - WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Redistributed by the World Bank WDI database - World Health Organization (WHO), through the Global SDG Indicators Database. - World Health Organization Global Health Expenditure database, redistributed by World Bank WDI.",,
